keys,en,hu
"hud.menu","Menu {glyph}","Menü {glyph}"
"hud.hold","Hold {glyph} to {action}","Tartsd nyomva: {glyph} — {action}"
"hud.hold_restart","restart","újrakezdés"
"hud.hold_hint","show a hint","tipp"
"banner.no_hint","No hint available","Nincs elérhető tipp"
"banner.hint","Hint: {cell}","Tipp: {cell}"
"banner.no_wild","No wild charge","Nincs joker töltet"
"banner.wild_armed","Wild armed — choose a cell","Joker élesítve — válassz mezőt"
"banner.cycle","Try {prev} / {next} to step through the targets","Lépkedj a célok közt: {prev} / {next}"
"banner.auto_skip","No move — {dir} skipped, no cost","Nincs lépés — {dir} kimarad, ingyen"
"banner.wall","Walls never open","A falak sosem nyílnak meg"
"banner.illegal","Not a legal target","Ide nem lehet lépni"
"banner.tutorial_done","Tutorial complete — into the game","Vége az oktatásnak — jöhet a játék"
"banner.lesson_done","Done — {accept} for the next one","Kész — {accept} a következőhöz"
"banner.endless_goal","Goal {goals} — {accept} to carry on","{goals}. cél — {accept} a folytatáshoz"
"banner.complete","Complete — {moves} moves, ideal {par}, {stars} · {accept} to carry on","Kész — {moves} lépés, ideális {par}, {stars} · {accept} a folytatáshoz"
"banner.dead_undo","{reason} — {undo} undo · {restart} restart","{reason} — {undo} visszavonás · {restart} újrakezdés"
"banner.dead","{reason} — {restart}","{reason} — {restart}"
"dead.budget","Budget spent","Elfogyott a keret"
"dead.unreachable","A goal is walled off","Egy cél el van falazva"
"dead.frozen","The path is boxed in","Az út bezárult"
"dead.out_of_tiles","Out of tiles","Elfogytak a lapkák"
"dead.none","No route left","Nincs több út"
"tutorial.hint","{accept} place   ·   {back} skip the tutorial","{accept} lerakás   ·   {back} oktatás átugrása"
"tutorial.T1","Your tile points {direction}. Place it on the lit cell.","A lapkád {direction} felé mutat. Tedd a világító mezőre."
"tutorial.T2","The path grows. One more reaches the goal.","Az út nő. Még egy lépés, és megvan a cél."
"tutorial.T3","The dark cell is a wall. Walls never open.","A sötét mező fal. A falak sosem nyílnak meg."
"tutorial.T4","So go around it — over the top, then down.","Kerüld ki: fölötte át, aztán lefelé."
"tutorial.T5","No way past this wall. Step into the portal.","Ezen a falon nincs átjárás. Lépj a portálba."
"tutorial.T6","Its twin joined too. Finish from over there.","A párja is csatlakozott. Onnan fejezd be."
"tutorial.T7","A gate opens only for two path neighbours.","A kapu csak két szomszédos útmezőre nyílik."
"tutorial.T8","It has two now. Step into the gate.","Most már kettő van. Lépj be a kapun."
"tutorial.T9","The goal is one step beyond it.","A cél egy lépésre van mögötte."
"tutorial.T10","Take the star. It is one wild charge.","Vedd fel a csillagot: ez egy joker töltet."
"tutorial.T11","Wild armed: it goes any direction. Reach the goal.","A joker éles, bármerre mehet. Érd el a célt!"
"direction.short.nw","NW","ÉNy"
"direction.short.ne","NE","ÉK"
"direction.short.e","E","K"
"direction.short.se","SE","DK"
"direction.short.sw","SW","DNy"
"direction.short.w","W","Ny"
"direction.nw","north-west","északnyugat"
"direction.ne","north-east","északkelet"
"direction.e","east","kelet"
"direction.se","south-east","délkelet"
"direction.sw","south-west","délnyugat"
"direction.w","west","nyugat"
"pause.title","Paused","Szünet"
"pause.resume","Resume","Folytatás"
"pause.restart","Restart","Újrakezdés"
"pause.settings","Settings","Beállítások"
"pause.quit","Quit to map","Kilépés a térképre"
"pause.hint","{back} back","{back} vissza"
"gesture.hold","hold","tartás"
"gesture.press_twice","press twice","két nyomás"
"gesture.press_confirm","press to confirm","nyomd meg újra"
"glyph.hold","hold","tartsd"
"legend.title","LEGEND","JELMAGYARÁZAT"
"legend.controls","CONTROLS","IRÁNYÍTÁS"
"legend.goal","Goal","Cél"
"legend.goal_cue","inner ring + target glyph","belső gyűrű + céljel"
"legend.wall","Wall","Fal"
"legend.wall_cue","45° hatching, never enterable","45°-os vonalkázás, sosem járható"
"legend.gate","Gate","Kapu"
"legend.gate_cue","single ring; needs two path neighbours","egy gyűrű; két szomszédos útmező kell"
"legend.portal","Portal","Portál"
"legend.portal_cue","two concentric rings, dashed tether to its twin","két gyűrű, szaggatott vonal a párjáig"
"legend.wild","Wild","Joker"
"legend.wild_cue","star glyph; grants a charge when entered","csillag; belépéskor tölteted lesz"
"legend.path","Path","Út"
"legend.path_cue","filled, gradient deepening from the start","kitöltött, a rajttól sötétedő"
"legend.target","Target","Célmező"
"legend.target_cue","heavier stroke — a legal move for this tile","vastagabb körvonal — ide léphet ez a lapka"
"legend.cursor","Cursor","Kurzor"
"legend.cursor_cue","outline standing outside the cell","a mezőn kívül futó körvonal"
"legend.move","Move","Mozgás"
"legend.cycle","Cycle","Léptetés"
"legend.place","Place","Lerakás"
"legend.turn","Turn board","Pálya forgatása"
"results.title_daily","Daily · {date}","Napi · {date}"
"results.title_level","Chapter {chapter} · Level {level}","{chapter}. fejezet · {level}. szint"
"results.complete","Complete","Kész"
"results.score","{moves} moves · ideal {par}","{moves} lépés · ideális {par}"
"results.perfect","perfect","tökéletes"
"results.over_and_three","{over} over · {fewer} fewer for three stars","{over} lépéssel több · {fewer} kevesebb kellene három csillaghoz"
"results.over","{over} over","{over} lépéssel több"
"results.next","Next level","Következő szint"
"results.replay","Replay","Újra"
"results.map","Map","Térkép"
"run.title","Run over","Vége a menetnek"
"run.score","{goals} goals","{goals} cél"
"run.best_new","new personal best · {placements} placements","új egyéni csúcs · {placements} lépés"
"run.best","best {best} · this run {placements} placements","csúcs {best} · ez a menet {placements} lépés"
"run.no_steam","Leaderboards need Steam","A ranglistához Steam kell"
"run.retry","Retry","Újra"
"run.menu","Menu","Menü"
"settings.title","Settings","Beállítások"
"settings.on","on","be"
"settings.off","off","ki"
"settings.press_input","press an input…","nyomj gombot…"
"settings.unbound","unbound","nincs"
"settings.tab.gameplay","Gameplay","Játékmenet"
"settings.tab.controls","Controls","Irányítás"
"settings.tab.video","Video","Kép"
"settings.tab.audio","Audio","Hang"
"settings.tab.accessibility","Accessibility","Kisegítő"
"settings.language","Language","Nyelv"
"settings.cursor","Cursor","Kurzor"
"settings.cursor.snap","snap to targets","célokra ugrik"
"settings.cursor.free","free","szabad"
"settings.destructive","Destructive actions","Végleges műveletek"
"settings.glyphs","Controller glyphs","Kontrollerjelek"
"settings.reset_gameplay","Reset gameplay to defaults","Játékmenet alaphelyzetbe"
"settings.replay_tutorial","Replay tutorial","Oktatás újra"
"settings.haptics","Haptics","Rezgés"
"settings.reset_controls","Reset controls to defaults","Irányítás alaphelyzetbe"
"settings.vsync","V-Sync","Képszinkron"
"settings.fps","Frame cap","Képkockakorlát"
"settings.fps.uncapped","uncapped","korlátlan"
"settings.reset_video","Reset video to defaults","Kép alaphelyzetbe"
"settings.music","Music","Zene"
"settings.sfx","Effects","Effektek"
"settings.ui","Interface","Kezelőfelület"
"settings.reset_audio","Reset audio to defaults","Hang alaphelyzetbe"
"settings.colours","Colours","Színek"
"settings.palette.warm","warm","meleg"
"settings.palette.neon","neon dark","neon sötét"
"settings.palette.deuter","deuteranopia","deuteranópia"
"settings.palette.protan","protanopia","protanópia"
"settings.palette.tritan","tritanopia","tritanópia"
"settings.palette.high_contrast","high contrast","nagy kontraszt"
"settings.text_size","Text size","Betűméret"
"settings.reduce_motion","Reduce motion","Kevesebb mozgás"
"settings.flat_board","Flat board","Lapos pálya"
"settings.reset_accessibility","Reset accessibility to defaults","Kisegítő alaphelyzetbe"
"settings.footer","{left} {right} change   {prev} {next} tab   {back} back","{left} {right} módosítás   {prev} {next} fül   {back} vissza"
"settings.capture","Press an input for {action}   ·   {escape} to cancel","Nyomj gombot ehhez: {action}   ·   {escape} mégse"
"settings.collision","Already used by {action}","Már használja: {action}"
"settings.restored","{tab} restored","{tab} visszaállítva"
"binding.board_move_up","Board · move up","Pálya · fel"
"binding.board_move_down","Board · move down","Pálya · le"
"binding.board_move_left","Board · move left","Pálya · balra"
"binding.board_move_right","Board · move right","Pálya · jobbra"
"binding.board_cycle_prev","Board · cycle prev","Pálya · előző cél"
"binding.board_cycle_next","Board · cycle next","Pálya · következő cél"
"binding.board_rotate_ccw","Board · rotate ccw","Pálya · forgatás balra"
"binding.board_rotate_cw","Board · rotate cw","Pálya · forgatás jobbra"
"binding.board_confirm","Board · confirm","Pálya · lerakás"
"binding.board_undo","Board · undo","Pálya · visszavonás"
"binding.board_discard","Board · discard","Pálya · eldobás"
"binding.board_wild_modifier","Board · wild modifier","Pálya · joker"
"binding.board_hint","Board · hint","Pálya · tipp"
"binding.board_legend","Board · legend","Pálya · jelmagyarázat"
"binding.board_restart","Board · restart","Pálya · újrakezdés"
"binding.board_pause","Board · pause","Pálya · szünet"
"binding.board_back","Board · back","Pálya · vissza"
"binding.menu_up","Menu · up","Menü · fel"
"binding.menu_down","Menu · down","Menü · le"
"binding.menu_left","Menu · left","Menü · balra"
"binding.menu_right","Menu · right","Menü · jobbra"
"binding.menu_cycle_prev","Menu · cycle prev","Menü · előző"
"binding.menu_cycle_next","Menu · cycle next","Menü · következő"
"binding.menu_accept","Menu · accept","Menü · rendben"
"binding.menu_back","Menu · back","Menü · vissza"
"binding.modal_up","Modal · up","Ablak · fel"
"binding.modal_down","Modal · down","Ablak · le"
"binding.modal_accept","Modal · accept","Ablak · rendben"
"binding.modal_back","Modal · back","Ablak · vissza"
